Time,Data
844946096,0.000000
845105964,0.000000
845263203,0.000000
845421238,0.000000
845579255,0.000000
845738327,0.000000
845896343,0.000000
846054286,0.000000
846212876,0.000000
846577464,0.000000
846735333,0.000000
846893349,0.000000
847051421,0.000000
847210679,0.000000
847368306,0.000000
847584952,0.000000
847743061,0.000000
847960355,0.000000
848179833,0.000000
848395294,0.000000
848613013,0.000000
848771085,0.000000
848988064,0.000000
849146229,0.000000
849304597,0.000000
849521150,0.000000
849679111,0.000000
849837257,0.000000
849995144,0.000000
850213215,0.000000
850371676,0.000000
850528915,0.000000
850687247,0.000000
850904281,0.000000
851062279,0.000000
851220129,0.000000
851437459,0.000000
851655012,0.000000
851812029,0.000000
851969897,0.000000
852128543,0.000000
852288338,0.000000
852446558,0.000000
852603834,0.000000
852760943,0.000000
852917960,0.000000
853077106,0.000000
853235252,0.000000
853393120,0.000000
853551674,0.000000
853768190,0.000000
853926040,0.000000
854084186,0.000000
854242202,0.000000
854458977,0.000000
854617512,0.000000
854775196,0.000000
854933064,0.000000
855150339,0.000000
855308096,0.000000
855466020,0.000000
855624648,0.000000
855783868,0.000000
855940959,0.000000
856159438,0.000000
856317214,0.000000
856475008,0.000000
856633876,0.000000
856792171,0.000000
856949909,0.000000
857108056,0.000000
857265887,0.000000
857482866,0.000000
857639882,0.000000
857796880,0.000000
857953971,0.000000
858112043,0.000000
858269819,0.000000
858486835,0.000000
858644018,0.000000
858802497,0.000000
858960125,0.000000
859117771,0.000000
859481933,0.000000
859639228,0.000000
859797541,0.000000
859955020,0.000000
860114592,0.000000
860271887,0.000000
860430125,0.000000
860587846,0.000000
860805398,0.000000
860962841,0.000000
861120098,0.000000
861338151,0.000000
861496056,0.000000
861653943,0.000000
861871348,0.000000
862029124,0.000000
862186992,0.000000
862345027,0.000000
862505044,0.000000
862662820,0.000000
862819855,0.000000
862978316,0.000000
863194906,0.000000
863352774,0.000000
863569716,0.000000
863727973,0.000000
863944915,0.000000
864104394,0.000000
864262170,0.000000
864420002,0.000000
864578055,0.000000
864795849,0.000000
864953828,0.000000
865112308,0.000000
865270047,0.000000
865429008,0.000000
865586857,0.000000
865744837,0.000000
865901928,0.000000
866060296,0.000000
866217924,0.000000
866375940,0.000000
866593049,0.000000
866750917,0.000000
866909026,0.000000
867066691,0.000000
867225744,0.000000
867382983,0.000000
867540537,0.000000
867697924,0.000000
867915847,0.000000
868073697,0.000000
868246861,0.000000
868610931,0.000000
868768818,0.000000
868926742,0.000000
869083758,0.000000
869242423,0.000000
869458957,0.000000
869616937,0.000000
869774787,0.000000
869932840,0.000000
870091783,0.000000
870250262,0.000000
870407946,0.000000
870565962,0.000000
870725923,0.000000
870883847,0.000000
871042086,0.000000
871199639,0.000000
871359341,0.000000
871516821,0.000000
871674856,0.000000
871832539,0.000000
871991611,0.000000
872223775,0.000000
872381717,0.000000
